 -3.0000000000E+00 -1.0000000000E+01  1.72987E-04  3.71647E+01
 -3.0000000000E+00 -9.9666666667E+00  2.18718E-04  3.03050E+01
 -3.0000000000E+00 -9.9333333333E+00  1.99412E-04  3.67846E+01
 -3.0000000000E+00 -9.9000000000E+00  2.21710E-04  4.47485E+01
 -3.0000000000E+00 -9.8666666667E+00  2.10121E-04  4.10744E+01
 -3.0000000000E+00 -9.8333333333E+00  1.08026E-04  4.57658E+01
 -3.0000000000E+00 -9.8000000000E+00  8.50246E-05  4.62649E+01
 -3.0000000000E+00 -9.7666666667E+00  7.46515E-05  6.16493E+01
 -3.0000000000E+00 -9.7333333333E+00  7.82215E-05  5.52823E+01
 -3.0000000000E+00 -9.7000000000E+00  1.42477E-04  4.47646E+01
 -3.0000000000E+00 -9.6666666667E+00  1.36146E-04  4.52587E+01
 -3.0000000000E+00 -9.6333333333E+00  9.33002E-05  6.28368E+01
 -3.0000000000E+00 -9.6000000000E+00  8.72786E-05  9.66071E+01
 -3.0000000000E+00 -9.5666666667E+00  8.89376E-05  6.65636E+01
 -3.0000000000E+00 -9.5333333333E+00  1.55799E-04  4.88802E+01
 -3.0000000000E+00 -9.5000000000E+00  2.64404E-04  3.32802E+01
 -3.0000000000E+00 -9.4666666667E+00  1.55443E-04  3.36053E+01
 -3.0000000000E+00 -9.4333333333E+00  7.88063E-05  8.33026E+01
 -3.0000000000E+00 -9.4000000000E+00  3.51719E-05  6.68898E+01
 -3.0000000000E+00 -9.3666666667E+00  5.35141E-05  4.64152E+01
 -3.0000000000E+00 -9.3333333333E+00  7.04217E-05  4.03985E+01
 -3.0000000000E+00 -9.3000000000E+00  9.73981E-05  4.42376E+01
 -3.0000000000E+00 -9.2666666667E+00  1.41639E-04  2.98848E+01
 -3.0000000000E+00 -9.2333333333E+00  1.55384E-04  2.98597E+01
 -3.0000000000E+00 -9.2000000000E+00  1.31938E-04  2.06945E+01
 -3.0000000000E+00 -9.1666666667E+00  8.65780E-05  6.33399E+01
 -3.0000000000E+00 -9.1333333333E+00  1.15717E-04  4.89929E+01
 -3.0000000000E+00 -9.1000000000E+00  1.84030E-04  4.92293E+01
 -3.0000000000E+00 -9.0666666667E+00  2.20207E-04  3.90067E+01
 -3.0000000000E+00 -9.0333333333E+00  1.56903E-04  5.01371E+01
 -3.0000000000E+00 -9.0000000000E+00  1.83422E-04  2.92485E+01
 -3.0000000000E+00 -8.9666666667E+00  2.13368E-04  2.45089E+01
 -3.0000000000E+00 -8.9333333333E+00  1.74011E-04  4.03676E+01
 -3.0000000000E+00 -8.9000000000E+00  9.71077E-05  3.14454E+01
 -3.0000000000E+00 -8.8666666667E+00  8.68845E-05  6.23332E+01
 -3.0000000000E+00 -8.8333333333E+00  5.36439E-05  5.93906E+01
 -3.0000000000E+00 -8.8000000000E+00  1.50761E-04  5.02778E+01
 -3.0000000000E+00 -8.7666666667E+00  2.19930E-04  1.27478E+01
 -3.0000000000E+00 -8.7333333333E+00  2.54788E-04  2.25354E+01
 -3.0000000000E+00 -8.7000000000E+00  1.40594E-04  3.14385E+01
 -3.0000000000E+00 -8.6666666667E+00  1.68291E-04  1.46290E+01
 -3.0000000000E+00 -8.6333333333E+00  1.90852E-04  1.26978E+01
 -3.0000000000E+00 -8.6000000000E+00  1.81306E-04  1.45060E+01
 -3.0000000000E+00 -8.5666666667E+00  1.25097E-04  3.15564E+01
 -3.0000000000E+00 -8.5333333333E+00  1.06488E-04  3.14525E+01
 -3.0000000000E+00 -8.5000000000E+00  1.06208E-04  3.86641E+01
 -3.0000000000E+00 -8.4666666667E+00  1.49121E-04  3.32661E+01
 -3.0000000000E+00 -8.4333333333E+00  2.68745E-04  2.24201E+01
 -3.0000000000E+00 -8.4000000000E+00  2.93977E-04  2.09259E+01
